’èíŒvŽZ‚É‚æ‚é•‰‰×‚ð”ñ’èíŒvŽZ‚É‚æ‚é•‰‰×‚ÉŠ·ŽZ‚·‚é‚½‚ß‚ÌŒW”ˆê——i‘Î”äŒW”ˆ——pExcelƒtƒ@ƒCƒ‹‚©‚çƒRƒs[j,,,,,,,,,,,,,,,,,,,2012.1.31 Œš’zŠÂ‹«ƒ\ƒŠƒ…[ƒVƒ‡ƒ“ƒY@‹{“‡,,,,,,,,,,
Ø•Ð‚Ì’PˆÊ‚Í[Wh/m2“ú],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Œš•¨—p“r,Žº—p“r,‘O“ú‹ó’²—L–³,ŠúŠÔ,ŠO—,•‰‰×Ží•Ê,,–kŒ©,,,ŠâŒ©‘ò,,,·‰ª,,,’·–ì,,,‰F“s‹{,,,‰ªŽR,,,‹{è,,,“ß”e,
“X•Ü“™,ƒƒr[,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.2,0,92,0,0,213,-0.02,0,215,0.12,7,195,0.45,13,103,0.66,12,105,0.56,12,118,0.76,5,95
,,,,,’g–[•‰‰×,0.73,-23,-122,0.74,-17,-178,0.74,-12,-180,0.77,-7,-129,0.74,-9,-9,0.68,-13,-13,0.75,-8,-8,0.7,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,52,0,0.65,76,0,0.66,64,0,0.65,67,0,0.65,59,0,0.72,41,0,0.67,68,0,0.74,37,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,87,0,0,84,0,0,92,0,0,105,0,0,143,0,0,129,0,0,173,-0.66,7,7
,,,,,’g–[•‰‰×,0.73,-81,-150,0.73,-79,-142,0.71,-85,-160,0.71,-83,-166,0.7,-75,-181,0.71,-61,-157,0.71,-50,-178,0.71,-20,-20
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,58,0,0.68,77,0,0.65,91,0,0.64,107,0,0.66,117,0,0.71,63,0,0.66,103,0,0.69,46,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,119,0,0,137,0,0,125,0,0,147,0,0,118,0,0,176,0,0,172,-0.02,0,55
,,,,,’g–[•‰‰×,0.73,-43,-126,0.71,-46,-146,0.72,-48,-141,0.73,-40,-149,0.74,-29,-103,0.73,-26,-153,0.73,-37,-160,0.73,-14,-14
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,48,0,0.64,78,0,0.63,85,0,0.65,86,0,0.66,82,0,0.7,59,0,0.67,97,0,0.72,47,0
“X•Ü“™,ƒoƒbƒNƒ„[ƒh,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.07,-1,48,0,0,95,0,0,81,0.09,6,97,0.34,10,140,0.51,12,52,0.45,11,160,0.64,6,49
,,,,,’g–[•‰‰×,0.58,-34,-91,0.6,-24,-106,0.6,-19,-87,0.64,-9,-76,0.61,-12,-96,0.56,-13,-13,0.62,-11,-101,0.55,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.58,65,0,0.55,83,0,0.56,71,0,0.56,73,0,0.55,66,0,0.61,51,0,0.57,75,0,0.63,45,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,42,0,0,42,0,0,40,0,0,49,0,0,78,0,0,62,0,0,88,-0.72,7,7
,,,,,’g–[•‰‰×,0.58,-114,-173,0.58,-111,-166,0.56,-120,-176,0.55,-117,-177,0.55,-105,-181,0.56,-87,-150,0.56,-71,-152,0.55,-29,-88
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.62,71,0,0.58,85,0,0.55,100,0,0.54,118,0,0.57,127,0,0.61,77,0,0.56,113,0,0.59,56,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,60,0,0,59,0,0,58,0,0,66,0,0,64,0,0,87,0,0,93,0,0,129
,,,,,’g–[•‰‰×,0.58,-61,-121,0.55,-67,-124,0.57,-68,-130,0.58,-58,-122,0.59,-42,-99,0.59,-38,-113,0.58,-52,-134,0.57,-21,-131
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.61,59,0,0.54,88,0,0.53,94,0,0.55,95,0,0.57,91,0,0.6,71,0,0.58,105,0,0.61,59,0
ŠwZ“™,‹³Žº¬’†‚,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.08,0,151,0,0,230,-0.02,-1,215,0.06,5,177,0.29,10,31,0.46,13,43,0.39,11,52,0.6,7,44
,,,,,’g–[•‰‰×,0.57,-36,-203,0.6,-25,-247,0.6,-21,-232,0.64,-11,-170,0.6,-15,-15,0.56,-16,-16,0.62,-13,-13,0.54,-9,-9
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.57,69,0,0.54,87,0,0.53,76,0,0.53,78,0,0.54,68,0,0.58,57,0,0.54,79,0,0.6,51,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,102,0,0,99,0,0,116,0,0,123,0,0,164,0,0,157,0,0,188,-0.54,6,6
,,,,,’g–[•‰‰×,0.59,-112,-236,0.58,-112,-230,0.56,-121,-259,0.56,-119,-260,0.55,-110,-279,0.56,-88,-253,0.56,-74,-261,0.55,-30,-30
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.61,77,0,0.57,90,0,0.53,110,0,0.51,127,0,0.54,139,0,0.58,85,0,0.52,125,0,0.53,67,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,131,0,0,157,0,0,146,0,0,168,0,0,107,0,0,181,0,0,144,-0.01,0,13
,,,,,’g–[•‰‰×,0.58,-64,-200,0.55,-68,-229,0.58,-70,-224,0.59,-59,-231,0.6,-43,-149,0.59,-39,-215,0.58,-52,-191,0.56,-22,-22
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.6,62,0,0.52,93,0,0.52,98,0,0.53,99,0,0.56,93,0,0.58,76,0,0.56,109,0,0.58,66,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,2,0,0,10,0,0,19,0,0,178,0,0,402,0,0,63,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0.57,-953,-1137,0.61,-822,-996,0.52,-652,-824,0.59,-658,-952,0.6,-603,-1081,0.61,-580,-775,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,2.3,249,0,1.06,276,0,0.76,200,0,1.14,375,0,0.92,534,0,1.24,356,0,0,0,0,0,0,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ŠwZ“™,EˆõŽº¬’†‚,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.18,-1,58,0,0,119,-0.01,0,88,0.09,7,120,0.36,12,160,0.55,13,65,0.45,12,73,0.68,6,60
,,,,,’g–[•‰‰×,0.64,-31,-119,0.66,-22,-120,0.67,-17,-87,0.7,-9,-91,0.66,-14,-106,0.61,-15,-15,0.67,-12,-12,0.61,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.63,61,0,0.6,82,0,0.6,71,0,0.6,73,0,0.6,64,0,0.66,49,0,0.61,74,0,0.68,43,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,74,0,0,68,0,0,74,0,0,82,0,0,117,0,0,107,0,0,137,-0.69,7,7
,,,,,’g–[•‰‰×,0.66,-98,-183,0.65,-98,-175,0.63,-106,-190,0.63,-105,-192,0.62,-97,-207,0.63,-78,-179,0.63,-64,-187,0.62,-27,-84
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.66,71,0,0.62,85,0,0.58,105,0,0.57,121,0,0.6,133,0,0.65,76,0,0.59,115,0,0.62,58,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,83,0,0,98,0,0,96,0,0,111,0,0,92,0,0,133,0,0,127,0,1,141
,,,,,’g–[•‰‰×,0.64,-55,-133,0.62,-59,-150,0.64,-61,-154,0.65,-51,-154,0.66,-38,-115,0.66,-34,-148,0.65,-46,-154,0.64,-19,-132
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.66,56,0,0.58,86,0,0.57,93,0,0.59,94,0,0.61,89,0,0.64,68,0,0.61,104,0,0.66,57,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,1,0,0,102,0,0,390,0,0,12,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0.69,-1071,-1233,0.74,-925,-1064,0.64,-728,-856,0.71,-740,-928,0.72,-681,-1110,0.73,-650,-764,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,2.63,282,0,1.2,315,0,0.87,224,0,1.29,425,0,1.04,606,0,1.45,400,0,0,0,0,0,0,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ŠwZ“™,H“°¬’†‚,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,38,0,0,67,0,0,57,0,0,65,0.06,-1,66,0.22,11,11,0.19,11,103,0.36,7,14
,,,,,’g–[•‰‰×,0.25,-97,-149,0.35,-53,-129,0.29,-55,-120,0.37,-32,-104,0.34,-30,-95,0.34,-23,-23,0.37,-27,-102,0.27,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.3,108,0,0.32,112,0,0.31,96,0,0.29,97,0,0.3,85,0,0.32,86,0,0.32,98,0,0.36,80,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,15,0,0,16,0,0,16,0,0,24,0,0,49,0,0,34,0,0,70,0,0,81
,,,,,’g–[•‰‰×,0.31,-192,-239,0.31,-182,-230,0.26,-208,-251,0.25,-205,-253,0.25,-184,-249,0.28,-150,-202,0.25,-137,-217,0.25,-57,-145
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.39,100,0,0.34,111,0,0.32,131,0,0.29,148,0,0.3,173,0,0.36,113,0,0.32,147,0,0.29,92,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,45,0,0,39,0,0,31,0,0,44,0,0,52,0,0,76,0,0,66,0,0,102
,,,,,’g–[•‰‰×,0.34,-93,-153,0.27,-106,-160,0.32,-108,-158,0.32,-95,-153,0.35,-68,-129,0.33,-67,-149,0.31,-82,-155,0.31,-34,-137
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.37,86,0,0.28,117,0,0.3,119,0,0.32,118,0,0.35,111,0,0.34,110,0,0.34,124,0,0.32,103,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,89,0,0,90,0,0,68,0,0,69,0,0,57,0.11,10,129,0.25,11,140,0.33,12,16
,,,,,’g–[•‰‰×,0.29,-121,-226,0.35,-79,-184,0.41,-62,-145,0.41,-46,-127,0.41,-37,-106,0.42,-28,-147,0.39,-45,-149,0.33,-20,-20
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.31,164,0,0.27,185,0,0.36,114,0,0.4,120,0,0.39,99,0,0.39,118,0,0.39,124,0,0.43,104,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,21,0,0,16,0,0,16,0,0,21,0,0,79,0,0,39,0,0,96,0,0,91
,,,,,’g–[•‰‰×,0.38,-232,-294,0.34,-227,-285,0.28,-270,-322,0.27,-272,-328,0.26,-254,-353,0.3,-181,-245,0.27,-177,-288,0.25,-76,-182
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.4,171,0,0.45,119,0,0.33,163,0,0.35,181,0,0.35,226,0,0.37,133,0,0.27,231,0,0.3,114,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,45,0,0,49,0,0,31,0,0,55,0,0,61,0,0,58,0,0,71,0,0,137
,,,,,’g–[•‰‰×,0.34,-132,-202,0.33,-136,-204,0.31,-166,-223,0.37,-134,-209,0.36,-111,-187,0.35,-103,-173,0.34,-109,-193,0.43,-29,-170
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.45,92,0,0.35,143,0,0.31,158,0,0.32,172,0,0.35,165,0,0.4,136,0,0.4,151,0,0.36,124,0
ŠwZ“™,‹³Žº‘åŠw,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.18,-1,196,0,0,325,-0.01,0,13,0.09,7,32,0.36,12,50,0.55,13,58,0.45,12,69,0.68,6,56
,,,,,’g–[•‰‰×,0.64,-31,-263,0.66,-22,-330,0.67,-17,-17,0.7,-9,-9,0.66,-14,-14,0.61,-15,-15,0.67,-12,-12,0.61,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.63,61,0,0.6,82,0,0.6,71,0,0.6,73,0,0.6,64,0,0.66,49,0,0.61,74,0,0.68,43,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,129,0,0,130,0,0,158,0,0,159,0,0,209,0,0,212,0,0,240,-0.69,7,7
,,,,,’g–[•‰‰×,0.66,-98,-243,0.65,-98,-241,0.63,-106,-280,0.63,-105,-275,0.62,-97,-304,0.63,-78,-290,0.63,-64,-295,0.62,-27,-27
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.66,71,0,0.62,85,0,0.58,105,0,0.57,121,0,0.6,133,0,0.65,76,0,0.59,115,0,0.62,58,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,158,0,0,208,0,0,193,0,0,224,0,0,129,0,0,228,0,0,155,0,1,22
,,,,,’g–[•‰‰×,0.64,-55,-211,0.62,-59,-264,0.64,-61,-256,0.65,-51,-271,0.66,-38,-157,0.66,-34,-247,0.65,-46,-187,0.64,-19,-19
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.66,56,0,0.58,86,0,0.57,93,0,0.59,94,0,0.61,89,0,0.64,68,0,0.61,104,0,0.66,57,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,4,0,0,16,0,0,27,0,0,220,0,0,462,0,0,95,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0.69,-1071,-1288,0.74,-925,-1131,0.64,-728,-934,0.71,-740,-1097,0.72,-681,-1234,0.73,-650,-900,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,2.63,282,0,1.2,315,0,0.87,224,0,1.29,425,0,1.04,606,0,1.45,400,0,0,0,0,0,0,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ŠwZ“™,H“°‘åŠw,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,50,0,0,72,0,0,49,0.03,3,64,0.26,10,69,0.36,14,45,0.38,10,119,0.55,8,48
,,,,,’g–[•‰‰×,0.59,-28,-74,0.63,-15,-79,0.6,-21,-60,0.67,-9,-55,0.64,-11,-39,0.56,-17,-17,0.67,-11,-69,0.6,-9,-9
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.51,77,0,0.49,91,0,0.52,74,0,0.47,89,0,0.48,75,0,0.53,64,0,0.52,85,0,0.61,48,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,63,0,0,53,0,0,48,0,0,61,0,0,76,0,0,70,0,0,90,-0.43,4,4
,,,,,’g–[•‰‰×,0.6,-115,-193,0.59,-108,-176,0.58,-106,-171,0.55,-119,-193,0.58,-91,-169,0.56,-87,-161,0.59,-61,-147,0.55,-30,-84
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.57,87,0,0.54,95,0,0.51,108,0,0.47,132,0,0.52,139,0,0.54,90,0,0.49,130,0,0.54,61,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,51,0,0,57,0,0,62,0,0,71,0,0,58,0,0,85,0,0,89,-0.02,0,74
,,,,,’g–[•‰‰×,0.66,-49,-95,0.61,-66,-117,0.65,-54,-114,0.65,-52,-116,0.65,-39,-85,0.64,-37,-105,0.61,-55,-129,0.6,-22,-75
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,47,0,0.58,86,0,0.56,94,0,0.56,100,0,0.6,91,0,0.62,69,0,0.58,104,0,0.6,69,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,72,0,0,281,0,0,6,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0.45,-809,-926,0.47,-698,-799,0.4,-558,-652,0.46,-558,-692,0.48,-509,-819,0.47,-494,-575,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.82,212,0,0.86,230,0,0.56,168,0,0.93,314,0,0.73,445,0,0.94,307,0,0,0,0,0,0,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,’g–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ŠwZ“™,Ž––±Žº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.2,-5,113,0,0,238,-0.09,-3,238,0.01,4,227,0.26,9,35,0.56,13,50,0.48,12,348,0.73,7,47
,,,,,’g–[•‰‰×,0.65,-46,-212,0.74,-23,-250,0.68,-27,-268,0.77,-9,-219,0.7,-18,-18,0.68,-18,-18,0.72,-17,-292,0.6,-12,-12
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.64,87,0,0.61,107,0,0.63,89,0,0.6,99,0,0.61,84,0,0.67,70,0,0.62,97,0,0.71,59,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,96,0,0,93,0,0,107,0,0,135,0,0,173,0,0,157,0,0,220,0.87,1,88
,,,,,’g–[•‰‰×,0.67,-153,-278,0.67,-144,-265,0.63,-163,-296,0.62,-165,-318,0.62,-148,-327,0.66,-110,-275,0.59,-112,-329,0.65,-36,-36
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,89,0,0.63,119,0,0.58,141,0,0.56,163,0,0.57,186,0,0.67,109,0,0.61,153,0,0.62,84,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,167,0,0,149,0,0,127,0,0,189,0,0,165,0,0,192,0,0,181,0,0,18
,,,,,’g–[•‰‰×,0.7,-70,-240,0.63,-86,-238,0.67,-86,-222,0.67,-74,-266,0.7,-52,-212,0.66,-56,-239,0.68,-60,-232,0.66,-28,-28
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,74,0,0.58,118,0,0.58,122,0,0.6,122,0,0.65,112,0,0.67,96,0,0.64,128,0,0.64,94,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,292,0,0,253,0,0,252,0.19,12,204,0.01,3,197,0.21,52,52,0.6,24,377,0.96,17,17
,,,,,’g–[•‰‰×,1.04,-68,-389,0.98,-70,-355,1.16,-44,-326,1.17,-20,-219,1.06,-26,-245,1.07,-35,-35,1.03,-44,-363,0.84,-29,-29
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.83,207,0,0.66,289,0,0.78,188,0,0.84,211,0,0.78,169,0,0.93,177,0,0.88,205,0,1.01,141,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,78,0,0,91,0,0,102,0,0,99,0,0,251,0,0,198,0,0,228,0,0,327
,,,,,’g–[•‰‰×,0.99,-291,-461,0.89,-308,-487,0.82,-353,-534,0.81,-363,-537,0.81,-339,-636,0.82,-245,-496,0.79,-219,-484,0.73,-107,-465
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.8,312,0,0.9,198,0,0.74,278,0,0.75,307,0,0.73,416,0,0.81,213,0,0.7,329,0,0.73,173,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,149,0,0,190,0,0,149,0,0,191,0,0,187,0,0,213,0,0,234,0,0,341
,,,,,’g–[•‰‰×,0.88,-199,-408,0.94,-183,-421,0.83,-234,-439,0.91,-192,-431,0.89,-157,-383,0.89,-139,-384,0.89,-143,-403,0.97,-41,-395
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1,128,0,0.81,231,0,0.67,266,0,0.65,304,0,0.69,294,0,0.84,227,0,0.87,246,0,0.75,196,0
ŠwZ“™,Œ¤‹†Žº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.1,0,0,0,0,24,-0.04,-1,16,0.06,5,37,0.39,11,60,0.65,12,68,0.55,12,75,0.77,5,60
,,,,,’g–[•‰‰×,0.72,-32,-32,0.77,-16,-16,0.73,-17,-17,0.78,-7,-7,0.74,-12,-12,0.68,-13,-13,0.74,-11,-11,0.69,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,69,0,0.64,90,0,0.66,74,0,0.64,80,0,0.64,71,0,0.71,49,0,0.66,81,0,0.74,44,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,177,0,0,162,0,0,224,0,0,223,0,0,299,0,0,310,0,0,383,-0.67,7,7
,,,,,’g–[•‰‰×,0.72,-108,-301,0.72,-104,-281,0.7,-116,-352,0.69,-116,-344,0.68,-106,-399,0.71,-80,-386,0.67,-80,-448,0.71,-24,-24
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,66,0,0.66,95,0,0.63,115,0,0.61,135,0,0.63,148,0,0.71,82,0,0.64,128,0,0.67,65,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,262,0,0,333,0,0,183,0,0,333,0,0,257,0,0,21,0,0,240,0.01,0,32
,,,,,’g–[•‰‰×,0.74,-50,-304,0.7,-58,-382,0.72,-60,-240,0.72,-53,-376,0.73,-39,-279,0.71,-39,-39,0.72,-45,-265,0.69,-21,-21
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,57,0,0.63,93,0,0.63,98,0,0.64,102,0,0.67,96,0,0.71,72,0,0.68,110,0,0.7,68,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,480,0,0,464,0,0,450,4.58,-6,931,0,2,2,0.56,36,37,0.79,18,653,0.93,14,22
,,,,,’g–[•‰‰×,1.07,-34,-534,1.02,-42,-527,1.18,-19,-487,1.18,-5,-409,1.09,-10,-10,1.05,-26,-26,1.03,-29,-602,0.91,-17,-17
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.83,156,0,0.64,246,0,0.81,132,0,0.81,167,0,0.8,129,0,1,98,0,0.88,153,0,1,93,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,158,0,0,171,0,0,215,0,0,214,0,0,381,0,0,359,0,0,308,0,0,0
,,,,,’g–[•‰‰×,1.02,-184,-420,0.94,-203,-447,0.91,-226,-509,0.88,-243,-521,0.88,-231,-648,0.9,-154,-555,0.87,-131,-463,0.81,-76,-76
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,249,0,0.88,152,0,0.72,226,0,0.72,244,0,0.74,339,0,0.82,166,0,0.72,251,0,0.78,116,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,204,0,0,325,0,0,301,0,0,280,0,0,258,0,0,424,0,0,427,0,0,0
,,,,,’g–[•‰‰×,0.93,-138,-390,1.05,-94,-454,0.89,-160,-507,0.94,-133,-451,0.91,-118,-404,0.9,-107,-553,0.91,-94,-535,1,-26,-26
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1,88,0,0.85,174,0,0.64,225,0,0.64,253,0,0.73,240,0,0.84,183,0,0.9,191,0,0.83,121,0
